model,n,r2,adj_r2,const,const_se_hc3,const_p_hc3,Mkt_RF,Mkt_RF_se_hc3,Mkt_RF_p_hc3,ticker,return_type,window,SMB,SMB_se_hc3,SMB_p_hc3,HML,HML_se_hc3,HML_p_hc3,RMW,RMW_se_hc3,RMW_p_hc3,CMA,CMA_se_hc3,CMA_p_hc3
FF5,19,0.14035791868207548,-0.1902736510555878,0.0038469588594118717,0.037183070974922426,0.9175979299662843,0.5660500381228862,0.8372045891320747,0.4989650120662913,WMT,price,19m_2025-01_to_2026-07,0.29943857399940965,0.8853525798213192,0.7352019803911186,0.40521498367356773,1.312338396536402,0.7574940236002284,0.43518678218018914,0.9080169049049475,0.6317453705772285,-0.5408128913050307,0.8551597956873166,0.5271180196464271
CAPM,19,0.04525949459209688,-0.010901711608368059,0.006559973511508009,0.016690182469176057,0.6942870974129834,0.34246364126076034,0.4594202389452486,0.4560144279600111,WMT,dividend_inclusive_approx,19m_2025-01_to_2026-07,,,,,,,,,,,,
FF3,19,0.07566771907097836,-0.10919873711482597,0.0011175400047379984,0.03268579012452921,0.9727253274642893,0.5087032440774801,0.81192624891701,0.5309616390940554,WMT,dividend_inclusive_approx,19m_2025-01_to_2026-07,0.14989464507157196,0.6505414119684378,0.817769132450662,0.3772852939373959,1.214713218540055,0.7561076262811757,,,,,,
FF5,19,0.14086680203146074,-0.1895690433410544,0.004609692874061312,0.0369833369205389,0.9008066383617402,0.559928401707559,0.8287032099696631,0.4992513337278083,WMT,dividend_inclusive_approx,19m_2025-01_to_2026-07,0.30241474958043585,0.8655442847043945,0.7267946040672542,0.40146763413475717,1.2996961061884091,0.7574025678004177,0.43186281847000024,0.9099916470566648,0.6350871613786535,-0.5354636420810325,0.8449809893524961,0.5262772513372928
CAPM,31,0.31760812703942787,0.29407737279940804,0.010755218704139095,0.008228666576873387,0.19119820481803906,0.8582203520033568,0.2146246020457714,6.369015022328749e-05,JPM,price,31m_2024-01_to_2026-07,,,,,,,,,,,,
FF3,31,0.4035877484173648,0.3373197204637386,0.006829623013175564,0.00895584774312968,0.4457090771344907,1.0227060644467156,0.2567908509365682,6.815333838278953e-05,JPM,price,31m_2024-01_to_2026-07,0.06435882794838374,0.3420298796161468,0.8507455306532512,0.5440514145330532,0.3307013576720467,0.09994008117107007,,,,,,
FF5,31,0.41412698610804066,0.2969523833296488,0.007541117200408047,0.011375535477356327,0.5073791330897828,1.0583001626003945,0.27107999489096474,9.461020699678459e-05,JPM,price,31m_2024-01_to_2026-07,0.10035026089076793,0.41545955910967,0.8091363219519881,0.4652450051847079,0.5148211596939168,0.366153341975049,0.17118887125098395,0.48867664432843133,0.7261052075154873,0.0571515000587578,0.6518573920385127,0.9301351082145783
CAPM,31,0.31388674583804643,0.2902276681083239,0.012677795388268503,0.008310212017658566,0.12711743077048535,0.8550165578049524,0.21093442763187376,5.046328623100352e-05,JPM,dividend_inclusive_approx,31m_2024-01_to_2026-07,,,,,,,,,,,,
FF3,31,0.39754500454364494,0.3306055606040499,0.008969067192259544,0.009010093271922153,0.3195190778809226,1.0119188243942578,0.2537941675479192,6.686796500385048e-05,JPM,dividend_inclusive_approx,31m_2024-01_to_2026-07,0.07832904250782516,0.3427135998349808,0.8192144957686411,0.5258033919622408,0.3380385636663287,0.11983801291774242,,,,,,
FF5,31,0.4081545855321397,0.2897855026385676,0.009564148720827937,0.011504392267309928,0.4057773005046542,1.0459490994352436,0.2702225793451211,0.00010852564935565517,JPM,dividend_inclusive_approx,31m_2024-01_to_2026-07,0.11337177867646514,0.4164932436134239,0.7854639631339918,0.466189825602046,0.5240802944543218,0.37371350935001857,0.18223978247930347,0.498565888684316,0.7147173241481055,0.0067565423318825535,0.6555198928692199,0.991776229191567
